Pipeline created from /mnt/ufs18/home-119/llorente/blk/projection_movie.pipe
Runtime: 0:00:00.011472
Cache set to : /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache
  Segment  Name                         Hashcode                          Dependencies                 Save Action    Always run    Output File
        1  static_projection[61]        e75415a2ddcc98a1953df1e145a700a4  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/e75415a2ddcc98a1953df1e145a700a4
        1  static_projection[62]        869966c3baf9b31900af63bec4f55201  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/869966c3baf9b31900af63bec4f55201
        1  static_projection[63]        d79c38b3503dc1cf70a6205c568e7115  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/d79c38b3503dc1cf70a6205c568e7115
        1  static_projection[64]        4c8228d51a3ce730cdef68dde236c41e  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/4c8228d51a3ce730cdef68dde236c41e
        1  static_projection[65]        08465e0545ae8edcb65bb3f3b1469918  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/08465e0545ae8edcb65bb3f3b1469918
        1  static_projection[66]        6906ff32783b90addf03356df8e38a20  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/6906ff32783b90addf03356df8e38a20
        1  static_projection[67]        9bda13c8bb452892b0b958d2fe5b6b24  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/9bda13c8bb452892b0b958d2fe5b6b24
        1  static_projection[68]        815f58c3014e4653d7f8bb074277547c  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/815f58c3014e4653d7f8bb074277547c
        1  static_projection[69]        fe08c6fa7893e77514334cc10afa9854  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/fe08c6fa7893e77514334cc10afa9854
        1  static_projection[70]        5ebc9d2828fa4e266a3a089d7dccc59e  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/5ebc9d2828fa4e266a3a089d7dccc59e
        1  static_projection[71]        86731dec12738286cf018d05ccae2d9f  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/86731dec12738286cf018d05ccae2d9f
        1  static_projection[72]        f2006966d9def27e84b3653e17fb4aa8  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/f2006966d9def27e84b3653e17fb4aa8
        1  static_projection[73]        8ee572761f55c13568e66476b92b6cd0  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/8ee572761f55c13568e66476b92b6cd0
        1  static_projection[74]        07877841e8a8474011ea1c4056cc7412  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/07877841e8a8474011ea1c4056cc7412
        1  static_projection[75]        16533fc72659cc3f4ee7e5b4c2f4e8d1  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/16533fc72659cc3f4ee7e5b4c2f4e8d1
        1  static_projection[76]        972bca0be0131fb1359eb4ab435fd9ae  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/972bca0be0131fb1359eb4ab435fd9ae
        1  static_projection[77]        6930ee675d18094f6a04356071d364ac  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/6930ee675d18094f6a04356071d364ac
        1  static_projection[78]        7f821e89d4a5184e13136cfd673d8f2a  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/7f821e89d4a5184e13136cfd673d8f2a
        1  static_projection[79]        100d9285e043b7418aeb290f22f7de50  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/100d9285e043b7418aeb290f22f7de50
        1  static_projection[80]        55519ec3a406b01c1c4c84b14033ad62  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/55519ec3a406b01c1c4c84b14033ad62
        1  static_projection[81]        bddc8d081d627dd12e2a55b750e39b3b  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/bddc8d081d627dd12e2a55b750e39b3b
        1  static_projection[82]        57ecd72532f92511f18c8afdeff30ddc  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/57ecd72532f92511f18c8afdeff30ddc
        1  static_projection[83]        025853cf4dd62a7841a1d3643cd331cf  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/025853cf4dd62a7841a1d3643cd331cf
        1  static_projection[84]        332bc0987191133d49327a83394691ef  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/332bc0987191133d49327a83394691ef
        1  static_projection[85]        a6c7327123239de4cdeabd5924c88542  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/a6c7327123239de4cdeabd5924c88542
        1  static_projection[86]        c751806dcdeb20a3fa12c252b2691fc2  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/c751806dcdeb20a3fa12c252b2691fc2
        1  static_projection[87]        77a03e0c84b756451ce730c16c6eb9a9  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/77a03e0c84b756451ce730c16c6eb9a9
        1  static_projection[88]        d46d20c8ef522af31d2e5fa9ba8f08a4  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/d46d20c8ef522af31d2e5fa9ba8f08a4
        1  static_projection[89]        697a6936d5e9021404bb97aa14577249  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/697a6936d5e9021404bb97aa14577249
        1  static_projection[90]        bc9aa6d26dd30584fbae1998aa6cfee8  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/bc9aa6d26dd30584fbae1998aa6cfee8
        1  static_projection[91]        f5581f0c0a740fe5bcce07b046b28bc5  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/f5581f0c0a740fe5bcce07b046b28bc5
        1  static_projection[92]        ad342a743691733a07b66c85db39b8c2  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/ad342a743691733a07b66c85db39b8c2
        1  static_projection[93]        ef8fb7cea030bb5bfe9c517eef03fa35  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/ef8fb7cea030bb5bfe9c517eef03fa35
        1  static_projection[94]        fa7cefd213ee2919ff67ce349947692a  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/fa7cefd213ee2919ff67ce349947692a
        1  static_projection[95]        3fd4dc10b533f886607ceb4a9ed84f29  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/3fd4dc10b533f886607ceb4a9ed84f29
        1  static_projection[96]        85c73e49523de73e5ffff46830172913  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/85c73e49523de73e5ffff46830172913
        1  static_projection[97]        fce7c69097502476095c9785baf0d1ab  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/fce7c69097502476095c9785baf0d1ab
        1  static_projection[98]        3dfbb176dfdb8123b7ac0dab3ccaf51e  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/3dfbb176dfdb8123b7ac0dab3ccaf51e
        1  static_projection[99]        808230a9067e66f4eaa139aa8234b534  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/808230a9067e66f4eaa139aa8234b534
        1  static_projection[100]       51e36fbddbdef84aacc1aa53e843e1ae  None                         auto           False         /mnt/gs21/scratch/llorente/halo_4954_lowres/fiducial_run/cache/51e36fbddbdef84aacc1aa53e843e1ae
